instance,algorithm,cities,initial_length,nearest_neighbor_length,best_length,improvement_vs_initial_percent,difference_vs_nearest_neighbor,objective_evaluations,time_s,seed,accepted_worse
tsp.008,Simulated Annealing,120,64928.382343917125,11615.928487541518,10945.543334048438,83.14212838990608,-670.38515349308,20000,0.35954230005154386,10030,1236
tsp.008,Tabu Search,120,64928.382343917125,11615.928487541518,13862.451262405873,78.64962784845265,2246.5227748643556,20000,0.31954430002951995,10030,
tsp.009,Simulated Annealing,120,65472.53038028773,9346.45363394434,9619.043871747977,85.30827537002595,272.59023780363714,20000,0.3583333999849856,11026,1291
tsp.009,Tabu Search,120,65472.53038028773,9346.45363394434,12585.068815817147,80.77809312895256,3238.6151818728067,20000,0.3369974999804981,11026,
tsp.009,Simulated Annealing,120,62051.21028290592,9346.45363394434,10429.699579754824,83.19178702203648,1083.245945810484,20000,0.36516430001938716,11027,1335
tsp.009,Tabu Search,120,62051.21028290592,9346.45363394434,12454.079131627055,79.92935339238991,3107.625497682715,20000,0.32163479999871925,11027,
tsp.009,Simulated Annealing,120,58877.106829640674,9346.45363394434,10316.503224620845,82.47790392542322,970.0495906765045,20000,0.3460238999687135,11028,1301
tsp.009,Tabu Search,120,58877.106829640674,9346.45363394434,12496.468497098333,78.77533532132186,3150.0148631539923,20000,0.31439359998330474,11028,
tsp.009,Simulated Annealing,120,61896.1583163248,9346.45363394434,9656.391784523654,84.39904503414579,309.9381505793135,20000,0.33864039997570217,11029,1295
tsp.009,Tabu Search,120,61896.1583163248,9346.45363394434,12121.80719159869,80.41589733299874,2775.353557654349,20000,0.3096767999813892,11029,
tsp.009,Simulated Annealing,120,62733.12348526367,9346.45363394434,9719.095279521669,84.50723519002726,372.64164557732875,20000,0.3348180000321008,11030,1313
tsp.009,Tabu Search,120,62733.12348526367,9346.45363394434,12716.821492717932,79.7286970802511,3370.367858773592,20000,0.3375681000179611,11030,
tsp.010,Simulated Annealing,120,59294.54398503728,11036.884772188996,10416.069446338166,82.4333425197323,-620.81532585083,20000,0.36573620000854135,12026,1320
tsp.010,Tabu Search,120,59294.54398503728,11036.884772188996,13220.146559761442,77.7042782163946,2183.2617875724463,20000,0.3368666999740526,12026,
tsp.010,Simulated Annealing,120,61310.82476516832,11036.884772188996,10226.891818119102,83.31959836245888,-809.992954069894,20000,0.35085019998950884,12027,1223
tsp.010,Tabu Search,120,61310.82476516832,11036.884772188996,12498.805586071765,79.61403123519464,1461.920813882769,20000,0.32430490001570433,12027,
tsp.010,Simulated Annealing,120,59883.68103379094,11036.884772188996,10371.301957509426,82.6809211149576,-665.5828146795702,20000,0.34076319995801896,12028,1297
tsp.010,Tabu Search,120,59883.68103379094,11036.884772188996,12487.434579637742,79.14718273148341,1450.549807448746,20000,0.32645839999895543,12028,
tsp.010,Simulated Annealing,120,60174.75158155165,11036.884772188996,10725.491943985551,82.17609269321225,-311.3928282034449,20000,0.43967829999746755,12029,1337
tsp.010,Tabu Search,120,60174.75158155165,11036.884772188996,13573.191689607493,77.44370964089073,2536.3069174184966,20000,0.3829441000125371,12029,
tsp.010,Simulated Annealing,120,58112.55371840611,11036.884772188996,10813.623743924405,81.39193160169215,-223.261028264591,20000,0.34725660004187375,12030,1301
tsp.010,Tabu Search,120,58112.55371840611,11036.884772188996,12626.193396846797,78.27286431425975,1589.3086246578005,20000,0.33369599998695776,12030,
