instance,n,m,reference_cmax,neh_cmax,initial_cmax,sa_best_cmax,difference,improvement_percent,sa_time,neh_time,accepted_worse_count,seed,best_permutation,experiment,variant,iterations,t_start,t_end,alpha,initial,neighborhood
data.001,20,5,1286,1286,1286,1286,0,0.0,0.20647180000378285,1.790000533219427e-05,19,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.20450720000371803,2.2599997464567423e-05,15,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.20553150000341702,1.8099992303177714e-05,15,2123,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.20457210000313353,2.030000905506313e-05,10,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.003,20,5,1159,1159,1159,1098,-61,5.2631578947368425,0.19930319998820778,1.7999991541728377e-05,17,3123,3 16 14 20 18 4 7 11 13 10 12 5 1 19 15 6 9 8 17 2,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.2020504000101937,1.7300000763498247e-05,13,3124,3 4 16 14 19 1 20 11 18 7 13 12 5 10 17 6 9 8 15 2,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.004,20,5,1325,1325,1325,1314,-11,0.8301886792452831,0.1996423000091454,1.8799997633323073e-05,14,4123,13 9 17 11 19 16 15 2 5 20 18 7 12 10 1 8 14 4 6 3,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.004,20,5,1325,1325,1325,1309,-16,1.2075471698113207,0.19991290000325534,1.8100006855092943e-05,16,4124,13 16 11 9 17 7 12 15 2 20 1 19 10 5 14 6 4 8 3 18,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.20013209999888204,1.7700003809295595e-05,15,5123,12 4 13 3 16 9 15 19 6 2 5 10 17 14 11 1 18 7 8 20,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.005,20,5,1305,1305,1305,1244,-61,4.674329501915709,0.19989829999394715,2.3800006601959467e-05,15,5124,12 13 3 9 17 16 4 6 2 10 5 11 15 19 18 14 7 8 20 1,alpha,0.9,10000,1000.0,0.01,0.9,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.1971107999997912,1.9700004486367106e-05,26,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.19702609999512788,1.85999961104244e-05,28,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.002,20,5,1365,1365,1365,1360,-5,0.3663003663003663,0.19843800000671763,1.829999382607639e-05,25,2123,6 19 10 7 15 3 17 12 1 13 20 18 16 9 4 8 11 14 5 2,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.19757499999832362,1.720000000204891e-05,28,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.20619000001170207,1.7800004570744932e-05,29,3123,3 4 16 14 19 7 11 10 18 13 20 5 1 12 9 17 6 8 15 2,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.003,20,5,1159,1159,1159,1098,-61,5.2631578947368425,0.20037979999324307,1.790000533219427e-05,25,3124,3 16 14 19 10 20 12 7 11 13 1 18 5 6 8 15 9 4 17 2,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
