iteration,current_cmax,best_cmax,candidate_cmax,move_i,move_j,tabu_used,improved_best,objective_evaluations
436,27232,27222,27232,57,218,False,False,17440
437,27229,27222,27229,101,138,False,False,17480
438,27232,27222,27232,193,296,False,False,17520
439,27228,27222,27228,198,332,False,False,17560
440,27227,27222,27227,312,431,False,False,17600
441,27224,27222,27224,218,300,False,False,17640
442,27224,27222,27224,319,380,False,False,17680
443,27224,27222,27224,276,282,False,False,17720
444,27224,27222,27224,200,210,False,False,17760
445,27224,27222,27224,255,258,False,False,17800
446,27216,27216,27216,112,257,False,True,17840
447,27209,27209,27209,48,111,False,True,17880
448,27201,27201,27201,98,103,False,True,17920
449,27200,27200,27200,124,189,False,True,17960
450,27200,27200,27200,81,109,False,False,18000
451,27200,27200,27200,142,151,False,False,18040
452,27200,27200,27200,233,234,False,False,18080
453,27200,27200,27200,77,106,False,False,18120
454,27198,27198,27198,474,483,False,True,18160
455,27216,27198,27216,292,301,False,False,18200
456,27211,27198,27211,217,222,False,False,18240
457,27211,27198,27211,273,282,False,False,18280
458,27212,27198,27212,130,238,False,False,18320
459,27212,27198,27212,390,401,False,False,18360
460,27212,27198,27212,296,315,False,False,18400
461,27212,27198,27212,157,175,False,False,18440
462,27212,27198,27212,117,118,False,False,18480
463,27212,27198,27212,236,276,False,False,18520
464,27208,27198,27208,396,418,False,False,18560
465,27208,27198,27208,300,334,False,False,18600
466,27208,27198,27208,99,114,False,False,18640
467,27208,27198,27208,80,98,False,False,18680
468,27219,27198,27219,263,415,False,False,18720
469,27217,27198,27217,416,471,False,False,18760
470,27219,27198,27219,47,60,False,False,18800
471,27215,27198,27215,71,101,False,False,18840
472,27215,27198,27215,324,328,False,False,18880
473,27227,27198,27227,48,55,False,False,18920
474,27230,27198,27230,81,96,False,False,18960
475,27230,27198,27230,161,165,False,False,19000
476,27230,27198,27230,375,436,False,False,19040
477,27230,27198,27230,216,221,False,False,19080
478,27229,27198,27229,87,150,False,False,19120
479,27229,27198,27229,26,54,False,False,19160
480,27227,27198,27227,424,435,False,False,19200
481,27237,27198,27237,370,379,False,False,19240
482,27237,27198,27237,61,71,False,False,19280
483,27234,27198,27234,218,248,False,False,19320
484,27234,27198,27234,124,136,False,False,19360
485,27234,27198,27234,178,184,False,False,19400
486,27234,27198,27234,488,489,False,False,19440
