instance,n,m,reference_cmax,neh_cmax,initial_cmax,sa_best_cmax,difference,improvement_percent,sa_time,neh_time,accepted_worse_count,seed,best_permutation,experiment,variant,iterations,t_start,t_end,alpha,initial,neighborhood
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.1806944999989355,1.8000006093643606e-05,267,3124,3 4 16 14 19 7 10 18 20 12 8 5 1 17 9 11 13 6 15 2,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1309,-16,1.2075471698113207,0.18065809999825433,1.85999961104244e-05,283,4123,13 16 11 19 17 9 2 15 12 7 20 5 10 1 8 14 3 4 18 6,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1300,-25,1.8867924528301887,0.18065300000307616,1.850000990089029e-05,286,4124,13 17 9 11 7 16 19 1 20 15 2 12 10 4 5 8 6 14 3 18,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.1856432000058703,1.7099999240599573e-05,284,5123,12 9 15 19 6 17 4 13 18 16 5 10 2 11 1 3 14 7 8 20,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1243,-62,4.75095785440613,0.18537030000879895,1.960000372491777e-05,247,5124,12 3 5 19 13 9 10 17 4 16 6 15 11 2 14 18 7 1 20 8,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.18092859999160282,1.8799997633323073e-05,460,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1278,-8,0.6220839813374806,0.18154629999480676,1.930000144056976e-05,454,1124,3 8 17 9 15 14 6 16 5 13 11 18 7 1 19 4 2 10 20 12,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1360,-5,0.3663003663003663,0.17844740000145976,1.7400001524947584e-05,455,2123,6 19 10 7 15 17 9 12 11 20 3 14 8 1 18 5 16 4 13 2,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.17778460000408813,1.750000228639692e-05,451,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1098,-61,5.2631578947368425,0.18443710000428837,1.8699996871873736e-05,413,3123,3 16 14 4 20 7 19 1 11 18 10 12 5 13 15 6 9 8 17 2,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
